KT3D ESTIMATES WITH:  Data exported from R                                      
 2   57   43    1  1556938.0      535488.50      .50000000      135.000      135.000      1.00000       1
Estimate
EstimationVariance
 119.67090      607.39180    
 123.30930      417.02190    
 119.98740      332.24140    
 109.23350      415.39790    
 97.456690      351.45180    
 84.096180      320.52250    
 74.530420      409.12120    
 61.855360      329.96760    
 51.722380      314.82860    
 46.599740      402.94450    
 37.098120      306.84790    
 38.246430      311.87400    
 48.026140      396.27590    
 52.999020      281.80440    
 63.040410      311.48720    
 77.260280      389.00300    
 90.130010      254.66250    
 87.041500      313.26810    
 74.206230      381.03260    
 59.452130      225.35650    
 62.872910      316.67730    
 68.285800      372.29540    
 67.986710      193.52760    
 80.720860      320.82720    
 94.746990      362.36940    
 108.10280      159.38960    
 100.63460      325.79760    
 90.631110      352.00720    
 79.556900      122.59840    
 92.804910      330.89980    
 107.78600      340.92720    
 124.83060      83.140630    
 127.70670      335.77450    
 133.75990      329.11490    
 137.88170      105.72160    
 121.23290      340.16490    
 101.97390      316.70300    
 80.533520      136.98760    
 71.449400      343.90130    
 55.890010      303.85460    
 43.664830      163.21610    
 55.305910      346.81810    
 64.456350      290.71890    
 69.473390      185.12750    
 63.940350      348.93340    
 52.873470      277.55440    
 48.139680      203.53230    
 63.972220      350.27160    
 74.527190      264.53650    
 75.748890      219.24370    
 65.634870      350.70620    
 55.700620      251.65010    
 59.107690      233.05180    
 77.746120      350.37420    
 93.815440      238.88760    
 100.15940      259.66040    
 97.532450      492.48670    
 111.94820      527.78420    
 121.32260      302.33660    
 123.26270      206.04390    
 109.39380      349.30870    
 98.456510      264.33340    
 89.790500      220.29750    
 81.387380      349.68150    
 72.373080      251.43500    
 63.280370      233.09610    
 54.237240      349.25250    
 45.107660      238.20290    
 44.986140      245.04950    
 54.096020      347.89410    
 65.242490      224.16800    
 74.956860      256.56260    
 82.475670      345.60960    
 84.474400      208.67250    
 83.128200      267.78720    
 77.269830      342.36220    
 73.233420      190.91960    
 71.685010      278.69310    
 76.236190      338.14450    
 83.380970      170.06740    
 89.133830      289.13980    
 94.665050      332.94810    
 95.043360      145.29320    
 96.878260      298.95550    
 93.849110      326.77650    
 90.339220      115.83650    
 96.112650      307.98130    
 105.76110      319.63560    
 115.98450      81.195070    
 125.36650      316.09150    
 134.98630      311.56200    
 144.36680      104.13630    
 127.47870      323.20540    
 112.63390      302.61090    
 102.27970      135.21510    
 81.752850      329.28080    
 67.318240      292.87630    
 57.934430      161.32320    
 62.721880      334.28920    
 64.221440      282.49440    
 64.665670      183.17360    
 72.793610      338.22460    
 76.096410      271.62050    
 75.592900      201.55430    
 75.234030      341.09260    
 70.479770      260.39620    
 66.597370      217.27930    
 66.854610      342.89330    
 68.253300      248.88090    
 73.791510      231.19810    
 83.789570      344.24690    
 97.037410      237.32420    
 102.44760      256.12760    
 99.467960      476.80270    
 111.94390      507.57160    
 115.51090      294.17550    
 113.66590      204.54170    
 104.90250      341.74510    
 95.293650      260.96270    
 88.997540      218.69810    
 87.217900      342.84950    
 89.717450      249.12860    
 83.225110      231.53220    
 65.014360      343.56180    
 48.889560      236.74320    
 48.546730      243.54340    
 62.723680      343.21120    
 78.288220      223.28330    
 87.772160      255.12590    
 91.183730      341.79370    
 89.458360      208.15940    
 88.124460      266.43320    
 83.394780      339.30200    
 73.540390      190.63840    
 78.212810      277.43230    
 88.356160      335.73340    
 97.048630      169.92620    
 101.23950      287.98110    
 100.21800      331.08760    
 94.620830      145.23090    
 99.129120      297.90330    
 103.11440      325.36990    
 101.63920      115.81540    
 103.53220      307.03910    
 102.97050      318.59650    
 107.43320      81.191540    
 120.38210      315.25800    
 133.69480      310.81380    
 129.12710      104.13400    
 130.73060      322.47800    
 115.26400      302.08670    
 99.137570      135.21020    
 89.807140      328.65910    
 83.615100      292.52140    
 82.721740      161.31410    
 77.733290      333.76450    
 75.696530      282.26110    
 76.970370      183.15940    
 87.895670      337.78990    
 102.08910      271.47260    
 108.40370      201.53480    
 88.990500      340.73220    
 75.972300      260.30400    
 69.231080      217.25600    
 69.988110      342.60420    
 70.909710      248.82730    
 76.255370      231.17830    
 86.983730      344.09000    
 98.915400      237.30450    
 104.15450      256.01580    
 102.74680      475.16420    
 115.72950      504.97820    
 113.84280      293.76620    
 107.78020      204.53360    
 100.05690      341.54820    
 87.999850      260.90780    
 81.853330      218.67940    
 86.794500      342.61130    
 95.587560      249.08390    
 92.054790      231.50980    
 73.561490      343.37400    
 59.558180      236.71710    
 59.459170      243.52060    
 71.762160      343.07110    
 85.812550      223.26900    
 96.054340      255.10240    
 103.70030      341.68880    
 112.31910      208.15120    
 107.78600      266.41020    
 96.121800      339.22530    
 88.087900      190.63370    
 91.513290      277.41070    
 102.69680      335.67880    
 113.74860      169.92350    
 115.94630      287.96170    
 113.80890      331.04980    
 108.08670      145.22940    
 110.46890      297.88620    
 114.13260      325.34450    
 129.96940      115.81460    
 110.51210      307.02440    
 100.65900      318.58040    
 92.087500      81.191250    
 117.90550      315.25280    
 142.00150      310.81340    
 168.36270      104.13360    
 140.63040      322.47830    
 119.14160      302.09060    
 99.428680      135.20950    
 97.562120      328.67210    
 94.395770      292.53160    
 90.434470      161.31350    
 94.348520      333.78200    
 96.086690      282.27200    
 97.719900      183.15960    
 104.13740      337.81000    
 104.81730      271.48280    
 100.22060      201.53610    
 95.716850      340.75430    
 86.006420      260.31290    
 78.973470      217.25700    
 76.368500      342.61610    
 75.280780      248.82960    
 79.494610      231.17500    
 89.145310      344.07710    
 95.363480      237.29250    
 99.672560      256.07990    
 101.70520      475.24130    
 116.21880      504.84530    
 118.02360      293.83520    
 113.80380      204.52690    
 99.155000      341.53540    
 84.463040      260.90550    
 77.505580      218.68010    
 80.812370      342.62280    
 84.623780      249.08830    
 82.984820      231.51470    
 76.113890      343.39870    
 72.260080      236.72290    
 73.483410      243.52730    
 79.909470      343.09590    
 90.280750      223.27330    
 100.64360      255.11130    
 110.83900      341.71360    
 123.93440      208.15370    
 120.47010      266.42120    
 109.59500      339.24960    
 101.73950      190.63510    
 106.43030      277.42360    
 117.24590      335.70220    
 127.81510      169.92400    
 128.80760      287.97650    
 129.42240      331.07220    
 136.97070      145.22950    
 123.50450      297.90290    
 112.17050      325.36650    
 97.010990      115.81460    
 102.95210      307.04150    
 103.06280      318.60050    
 107.21170      81.191440    
 122.03290      315.26630    
 140.94620      310.82460    
 147.72440      104.13360    
 141.03420      322.49130    
 124.47550      302.09920    
 115.27700      135.20970    
 107.32570      328.67600    
 108.13170      292.53400    
 112.44690      161.31380    
 111.65920      333.78520    
 118.14900      282.27380    
 126.71530      183.16000    
 122.72690      337.81270    
 120.28140      271.48390    
 114.36720      201.53660    
 106.55840      340.75640    
 94.866200      260.31370    
 86.255550      217.25750    
 83.169710      342.61770    
 85.282970      248.83010    
 89.666150      231.17540    
 94.778530      344.07340    
 101.10010      237.28890    
 105.06930      255.98960    
 106.20520      474.33000    
 117.53050      503.68600    
 119.43660      293.67110    
 114.15930      204.52470    
 98.352690      341.52900    
 82.641920      260.90500    
 75.192100      218.68060    
 76.728760      342.62430    
 74.508960      249.08870    
 73.640350      231.51510    
 76.495020      343.39960    
 74.437270      236.72320    
 77.060160      243.52770    
 85.428350      343.09670    
 93.225500      223.27340    
 104.84110      255.11160    
 114.70030      341.71410    
 110.29840      208.15380    
 118.15880      266.42150    
 124.07790      339.24990    
 119.04280      190.63510    
 124.11940      277.42380    
 131.36200      335.70240    
 133.98500      169.92400    
 135.44380      287.97660    
 134.31660      331.07230    
 134.11460      145.22940    
 122.74020      297.90290    
 109.71670      325.36650    
 100.96480      115.81470    
 101.00810      307.04280    
 106.24620      318.60050    
 113.97540      81.191460    
 125.20400      315.26620    
 139.15860      310.82460    
 153.61490      104.13360    
 139.64370      322.49130    
 125.50370      302.10050    
 109.16990      135.20980    
 113.85520      328.67600    
 115.84020      292.53400    
 117.86630      161.31410    
 122.28040      333.78520    
